"ABA","ABA 脱落酸" 
"Fab fragment","Fab fragment Fab片段[免疫球蛋白上结合抗原的片段]"
"face centered lattice","face centered lattice 面心点格"
"face mask","face mask 面具"
"face protector","face protector 面具"
"face shield","face shield 面罩"
"facilitated diffusion","facilitated diffusion 易化扩散，促进扩散"
"facilitation","facilitation 易化（作用），促进（作用）"
"facilitatory region","facilitatory region 易化区"
"factor 420","factor 420 ""420因子[即辅酶F420,为产甲烷细菌所特有，在紫外光下产生蓝绿色荧光]"""
"factor I","factor I （凝血）因子I"
"facultative anaerobe","facultative anaerobe 兼性厌氧菌[在有氧条件下也能发酵产能并维持正常生长繁殖的厌氧菌]"
"facultative heterochromatin","facultative heterochromatin 兼性异染色质"
"facultative heterochromatin","facultative heterochromatin 兼性异染色质"
"facultative parthenogenesis","facultative parthenogenesis 兼（性）孤雌生殖"
"facultative parthenogenesis","facultative parthenogenesis 兼[性]孤雌生殖"
"faint band","faint band 模糊条带"
"familial adenomatous polyposis","familial adenomatous polyposis 家族性多发性腺癌[FAP是一种抗癌基因]"
"far infrared","far infrared 远红外"
"farnesol","farnesol 法尼醇，麝子油醇"
"farnesylcysteine","farnesylcysteine 法尼半胱氨酸"
"farnesylpyrophosphate","farnesylpyrophosphate 法尼焦磷酸，焦磷酸法尼酯"
"farnesyl transferase","farnesyl transferase 法尼基转移酶"
"Farr technique","Farr technique Farr技术，法尔技术[测定抗体绝对量的放射免疫技术]"
"Farwestern blotting","Farwestern blotting Farwestern印迹法，蛋白质检测（的）蛋白质印迹法[例如用标记的激酶或重组蛋白来检测印迹膜上与之作用的蛋白]"
"fasciclin","fasciclin 成束蛋白[参与轴突的成束]"
"fast atom bombardment","fast atom bombardment 快（速）原子轰击"
"fast atom bombardment ion source","fast atom bombardment ion source 快（速）原子轰击离子源"
"fast component","fast component 快组分[复性反应中首先复性的高度重复序列]"
"fast gree","fast gree 固绿"
"fast green","fast green 固绿"
"fastidious microorganism","fastidious microorganism 苛求菌[一切难于培养生长或要求苛刻生长条件的细菌]"
"fast ion bombardment","fast ion bombardment 快（速）离子轰击"
"fast protein liquid chromatography","fast protein liquid chromatography 快速蛋白质液相层析"
"fast red","fast red 固红"
"fatty acid desaturation","fatty acid desaturation 脂肪酸脱饱和"
"fatty acyl carnitine","fatty acyl carnitine 脂酰肉碱"
"favism","favism 蚕豆病"
"Fc fragment","Fc fragment Fc片段[免疫球蛋白上的可结晶片段]"
"Fc receptor","Fc receptor Fc 受体"
"Fc receptor","Fc receptor Fc受体"
"Fc 受体","Fc 受体 Fc receptor"
"feature","feature 特征，特性"
"fed batch cultivation","fed batch cultivation 补料分批培养"
"fed batch system","fed batch system 补料分批（培养）系统"
"feeder cell","feeder cell 饲养细胞"
"feeder layer","feeder layer 饲养层"
"feedstock","feedstock 原种（贮存物）"
"feline leukemia virus","feline leukemia virus 猪白血病病毒"
"female gamete","female gamete 雌配子"
"fenchane","fenchane 葑烷"
"fenchane derivative","fenchane derivative 葑烷衍生物"
"fenthion","fenthion 倍硫磷，肟硫磷"
"fermentability","fermentability 可发酵性"
"fermentation capacity","fermentation capacity 发酵（能）力[表示微生物发酵底物的强度]"
"fermented dairy product","fermented dairy product 发酵奶制品"
"fermentograph","fermentograph 发酵图谱"
"fermicute","fermicute 硬壁（细）菌[胞壁含有厚层肽聚糖和磷壁酸的革兰氏阳性菌和放线菌]"
"fernane","fernane 羊齿烷"
"fernane type","fernane type 羊齿烷型"
"ferredoxin","ferredoxin 铁氧还蛋白"
"ferritin","ferritin 铁蛋白"
"ferritin labeling","ferritin labeling 铁蛋白标记法"
"ferRochelatase","ferRochelatase 铁螯合酶"
"ferroin","ferroin 邻菲咯啉亚铁离子"
"ferromegnetism","ferromegnetism 铁磁性"
"fertility","fertility 能育（性）"
"fertility factor","fertility factor 致育因子"
"fertility factor","fertility factor 致育因子"
"fertilization","fertilization 受精"
"ferulic acid","ferulic acid 阿魏酸"
"feruloyl esterase","feruloyl esterase 阿魏酸酯酶"
"fervenulin","fervenulin 热诚菌素"
"fetal calf serum","fetal calf serum 胎牛血清"
"fetuin","fetuin 胎球蛋白"
"fetus","fetus 胎，胎儿"
"fetus at risk","fetus at risk 风险胎儿[可能患遗传病]"
"Feulgen reaction","Feulgen reaction 福尔根反应"
"Feulgen reaction","Feulgen reaction 富尔根反应"
"Feulgen stain","Feulgen stain 富尔根染液"
"F factor","F factor F因子"
"fiber antigen","fiber antigen [噬菌体]尾丝抗原"
"fiber diffraction","fiber diffraction 纤维衍射"
"fiberglass","fiberglass 纤维玻璃"
"fibril","fibril 原纤维，元纤"
"fibrillar center","fibrillar center （核仁）纤维中心"
"fibrillar center","fibrillar center [核仁]纤维中心"
"fibrillarin","fibrillarin （核仁）纤维蛋白"
"fibrillin","fibrillin 原纤蛋白[成纤维细胞的一种胞外微原纤维蛋白]"
"fibrillogenesis","fibrillogenesis 原纤维生成"
"fibrin","fibrin 血纤蛋白"
"fibrinolysin","fibrinolysin （血）纤（蛋白）溶酶"
"fibrinolysis","fibrinolysis （血）纤（蛋白）溶（解）"
"fibrinolytics","fibrinolytics 纤溶剂，溶纤物"
"fibrinopeptide","fibrinopeptide 血纤肽"
"fibrin sealant","fibrin sealant 血纤蛋白粘合剂"
"fibrin stabilizing factor","fibrin stabilizing factor 血纤蛋白稳定因子fibrinogen血纤蛋白原"
"fibroblast","fibroblast 成纤维细胞"
"fibroblast growth factor","FGF
fibroblast growth factor
FGF 成纤维细胞生长因子"
"fibroblast growth factor","fibroblast growth factor 成纤维细胞生长因子"
"fibrocyte","fibrocyte 纤维细胞"
"fibroglycan","fibroglycan 纤（维蛋白）聚糖[成纤维细胞的一种蛋白聚糖]"
"fibroin","fibroin 丝心蛋白"
"fibromodulin","fibromodulin 纤调蛋白(聚糖)[一种可调节原纤维生成的蛋白聚糖]"
"fibronectin","fibronectin 纤连蛋白"
"fibronectin","fibronectin 纤连蛋白"
"fibronectin type III module","fibronectin type III module 纤连蛋白III型组件[由7条反平行beta链形成beta桶结构]"
"fibrous protein","fibrous protein 纤维状蛋白"
"ficin","ficin 无花果蛋白酶"
"Ficoll 400","Ficoll 400 ""[商]菲可400,水溶性聚蔗糖400[分子量为400kD，可形成等渗的密度梯度，为Pharmacia公司商品]"""
"fidelity","fidelity 保真性，忠实性"
"field desorption","field desorption 场解吸"
"field flow fractionation","field flow fractionation 场流分级（分离）法"
"filament","filament 纤丝"
"filament bundling protein","filament bundling protein 纤丝成束蛋白（质）"
"filamentous actin","filamentous actin （纤）丝状肌动蛋白"
"filamentous bacteriophage","filamentous bacteriophage 丝状噬菌体"
"filamentous fungi","filamentous fungi 丝状真菌"
"filamentous microorganism","filamentous microorganism 丝状微生物"
"filamentous phage","filamentous phage 丝状噬菌体"
"filamentous type colony","filamentous type colony 丝状（型）菌落"
"filament severing protein","filament severing protein 纤丝切割蛋白（质）"
"filamin","filamin [肌动蛋白]细丝蛋白[可使微丝发生交联]"
"filamin","filamin [肌动蛋白]细丝蛋白"
"filial generation","filial generation 子代[亲代所产生的后裔世代]"
"filling","filling 填补（反应）"
"film electrophoresis","film electrophoresis 薄膜电泳"
"filopodia","filopodia （复）丝足"
"filopodium","filopodia(复)
filopodium
filopodia(复) 丝足"
"filopodium","filopodium 丝足"
"filovirus","filovirus 线状病毒"
"filter aid","filter aid 助滤剂"
"filter hybridization","filter hybridization 滤膜杂交"
"fimbriae","fimbriae （复）[噬菌体]伞毛；菌毛"
"fimbrial antigen","fimbrial antigen 菌毛抗原"
"fimbrin","fimbrin [肌动蛋白]丝束蛋白"
"fimbrin","fimbrin [肌动蛋白]丝束蛋白"
"fimbrium","fimbrium [噬菌体]伞毛；菌毛"
"fingerprint","fingerprint 指纹，指纹结构[例如核酸或蛋白质的酶切消化物在双向电泳中显示的特征结构]；指纹技术"
"fingerprinting","fingerprinting 指纹法，指纹分析[DNA或蛋白质分析技术]"
"fingerprint technique","fingerprint technique 指纹技术"
"first division segregation","first division segregation 第一次分裂分离"
"first generation","first generation 第一代"
"first messenger","first messenger 第一信使"
"first signal system","first signal system 第一信号系统"
"Fischer projection","Fischer projection 费歇尔投影式"
"fission","fission 裂体生殖；裂变"
"fission yeast","fission yeast 裂殖酵母"
"fissiparity","fission
fissiparity
fission 裂体生殖"
"fissiparity","fissiparity 裂体生殖"
"fixed lipid","fixed lipid 固定脂，基本脂[作为组织结构成分而不受营养与机体活动的影响]"
"fixed virus","fixed virus （狂犬病毒）固定毒"
"flagella","flagella （复）鞭毛"
"flagellae","flagellae （复）鞭毛"
"flagellar antigen","flagellar antigen 鞭毛抗原，H抗原"
"flagellar basal body","flagellar basal body 鞭毛基体"
"flagellin","flagellin 鞭毛蛋白"
"flagellin","flagellin 鞭毛蛋白"
"flagellum","flagellum 鞭毛"
"flagellum","flagellae(复)
flagellum
flagellae(复) 鞭毛"
"flanking region","flanking region 侧翼区，旁侧区"
"flanking sequence","flanking sequence 侧翼序列，旁侧序列"
"flash chromatography","flash chromatography 急骤层析（法）"
"flash evaporation","flash evaporation 闪蒸"
"flash fermentation","flash fermentation 急骤发酵（法）"
"flash sterilization","flash sterilization 急骤灭菌（法）"
"flavane","flavane 黄烷"
"flavin","flavin 黄素"
"flavin adenine dinucleotide","flavin adenine dinucleotide 黄素腺嘌呤二核苷酸"
"flavin mononucleotide","flavin mononucleotide 黄素单核苷酸"
"flavivirus","flavivirus 黄病毒"
"flavobacterium","flavobacterium 黄杆病毒"
"flavodoxin","flavodoxin 黄素氧还蛋白"
"flavoenzyme","flavoenzyme 黄素酶"
"flavohemoglobin","flavohemoglobin 黄素血红蛋白"
"flavone","flavone 黄酮"
"flavonoid","flavonoid 类黄酮，黄酮类化合物"
"flavonol","flavonol 黄酮醇"
"flax retting","flax retting 亚麻浸渍"
"flexibility","flexibility 柔性[生物大分子活动程度的量度]"
"flexible chain","flexible chain 柔性链"
"flip-flop mechanism","flip-flop mechanism 滚翻机制"
"floatation","floatation 浮选"
"floc","floc 絮凝物"
"flocculate","flocculate 絮凝物"
"flocculating agent","flocculating agent 絮凝剂"
"flocculating yeast","flocculating yeast 絮凝酵母"
"flocculation","flocculation 絮凝（作用），结絮（作用）"
"flocculation precipitation reaction","flocculation precipitation reaction 絮凝沉淀反应"
"flocculence","flocculence 絮凝法"
"floor plate","floor plate 底板"
"flora","flora 区系；菌群"
"floral induction","floral induction 成花诱导"
"floral stimulation","floral stimulation 成花刺激"
"floridean starch","floridean starch 红藻淀粉"
"florigen","florigen 成花素"
"flotation","flotation 浮选；浮式离心"
"flow cell","flow cell 流动池"
"flow cell sorter","flow cell sorter 流式细胞分选仪"
"flow cell sorter","flow cell sorter 流式细胞分选仪"
"flow cytometer","flow cytometer 流式细胞仪"
"flow cytometry","FCM
flow cytometry
FCM 流式细胞计量术"
"flow cytometry","flow cytometry 流式细胞（计量）术"
"flowering hormone","flowering hormone 成花素"
"flowing chromatogram","flowing chromatogram 流动层析谱"
"flow injection analysis","flow injection analysis 流动注射分析"
"flow programmed chromatography","flow programmed chromatography 程序变流层析"
"flow programming","flow programming 程序变流"
"flow sorter","flow sorter 流式（细胞）分选仪"
"fluctuating variation","fluctuating variation 彷徨变异"
"fluidity","fluidity 流动性，流度"
"fluidization","fluidization 流化"
"fluid mosaic model","fluid mosaic model [膜的]流动镶嵌模型，流体镶嵌模型"
"flunitrazepan","flunitrazepan 氟硝安定[催眠镇静药]"
"fluor","fluor 氟；荧光剂"
"fluoranthene","fluoranthene 莹蒽"
"fluor apatite","fluor apatite 氟磷灰石"
"fluorene","fluorene 芴"
"fluorenylmethyloxycarbonyl","fluorenylmethyloxycarbonyl 芴甲氧羰基[可用作氨基保护剂]"
"fluorescein","fluorescein 荧光素，荧光黄"
"fluorescein isothiocyanate","fluorescein isothiocyanate 异硫氰酸荧光素"
"fluorescence body","fluorescence body 荧光小体"
"fluorescence microscope","fluorescence microscope 荧光显微镜"
"fluorescence quenching","fluorescence quenching 荧光猝灭"
"fluorescence yield","fluorescence yield 荧光产额"
"fluorescent probe","fluorescent probe 荧光探针"
"fluorescin","fluorescin 荧光蛋白，荧光素[如见于绿脓杆菌]"
"fluorination","fluorination 氟化"
"fluoroacetate","fluoroacetate 氟乙酸；氟乙酸盐、酯、根"
"fluoroacetyl coenzyme A","fluoroacetyl coenzyme A 氟乙酰辅酶A"
"fluorochrome","fluorochrome 荧光燃料"
"fluorochrome","fluorochrome 荧光染料"
"fluorodeoxyuridine","fluorodeoxyuridine 氟脱氧尿苷"
"fluorograph","fluorograph 荧光（自）显影图"
"fluorography","fluorography 荧光（自）显影（术）"
"fluorography enhancer spray","fluorography enhancer spray 荧光（自）显影增效喷雾剂"
"fluorophore","fluorophore 荧光团"
"fluorospectrophotometer","fluorospectrophotometer 荧光分光光度计"
"fluorospectrophotometry","fluorospectrophotometry 荧光分光光度法"
"fluorothymidine","fluorothymidine 氟胸苷"
"fluorouracil","fluorouracil 氟尿嘧啶"
"fluorouridine triphosphate","fluorouridine triphosphate 氟尿苷三磷酸"
"flush end","flush end 平端"
"flux","flux 流（动）；融化"
"focal adhesion","focal adhesion 粘着斑"
"focal adhesion kinase","focal adhesion kinase 粘着斑激酶"
"focal contact","focal contact 粘着斑"
"fodrin","fodrin 胞衬蛋白，胞影蛋白[来自非红细胞，但与血影蛋白类似]"
"foetal","foetal 胎（儿）的"
"foetus","foetus 胎儿"
"folate","folate 叶酸；叶酸盐、酯、根"
"fold chain","fold chain 折叠链"
"fold domain","fold domain 折叠微区"
"folding intermediate","folding intermediate 折叠中间体，折叠中间态"
"folding nucleus","folding nucleus 折叠核"
"foliage dressing","foliage dressing 叶面施肥"
"foliar diagnosis","foliar diagnosis 叶诊断"
"foliar fertilization","foliar fertilization 叶面施肥"
"folic acid","folic acid 叶酸"
"Folin reagent","Folin reagent 福林试剂[用于蛋白质定量（Lowry法）的磷钼酸-磷钨酸试剂]"
"follicle","follicle 滤泡，卵泡"
"follicle stimulating hormone","follicle stimulating hormone 促滤泡激素，促卵泡激素"
"folliliberin","folliliberin 促滤泡素释放素"
"follitropic hormone","follitropic hormone 促滤泡素"
"follitropin","follitropin 促滤泡素，促卵泡素"
"folyl monoglutamate","folyl monoglutamate 叶酰单谷氨酸"
"Food and Drug Administration","Food and Drug Administration 美国食品与药品管理署"
"footprint","footprint 足迹，足迹蛋白；足迹试验"
"footprinting","footprinting 足迹法[用于测定与蛋白质相结合的核酸]"
"footprint technique","footprint technique 足迹技术"
"forced cloning","forced cloning 强制克隆，定向克隆"
"foregut","foregut 前肠"
"foreign DNA","foreign DNA 外源DNA"
"formamide","formamide 甲酰胺"
"formazan","formazan 甲"
"formimino","formimino 亚胺甲基"
"formin","formin 形成素[与图式形成有关的蛋白]"
"formycin","formycin 间型霉素"
"formylmethionine","formylmethionine 甲酰甲硫氨酸"
"formyltetrahydrofolate","formyltetrahydrofolate 甲酰四氢叶酸"
"forskolin","forskolin 毛喉素[来自毛喉鞘蕊花的一种cAMP酶抑制剂]"
"Forssman antigen","Forssman antigen 福斯曼抗原[一类异嗜性抗原]"
"forster mother","forster mother 代孕母亲"
"fortimicin","fortimicin 健霉素，福提霉素"
"forward mixing","forward mixing 前向混合，顺向混合"
"forward mutant","forward mutant 正向突变"
"forward primer","forward primer 正向引物"
"forward reaction","forward reaction 正向反应，正反应"
"fosfomycin","fosfomycin 磷霉素"
"fossil DNA","fossil DNA 化石DNA"
"foulbrook","foulbrook [蜜蜂]幼虫腐臭病[由细菌引起]"
"founder effect","founder effect 建立者效应"
"Fourier space","Fourier space 傅里叶空间"
"Fourier synthesis","Fourier synthesis 傅里叶合成"
"Fourier transform","Fourier transform 傅里叶变换"
"Fourier transform infrared spectrometer","Fourier transform infrared spectrometer 傅里叶变换红外光谱计"
"four strand double crossing over","four strand double crossing over 四线双交换"
"fowlpox virus","fowlpox virus 禽痘病毒"
"fragile site","fragile site 脆性位点"
"fragment","fragment 片段"
"fragmentation","fragmentation 断裂，裂解，片段化"
"fragment length polymorphism","fragment length polymorphism 片段长度多态性，片长多态性"
"fragmin","fragmin [肌动蛋白]片段化蛋白"
"fragmin","fragmin [肌动蛋白]片段化蛋白[可将肌动蛋白丝切成片段]"
"frame","frame 框，框架，读框"
"frame hopping","frame hopping 跳码[在翻译中跳过某些密码子]"
"frame overlapping","frame overlapping 读框重叠"
"frame shift","frame shift 移码"
"frame shift","frame shift 移码，读框移位"
"frameshift mutation","frameshift mutation 移码突变"
"frameshift suppression","frameshift suppression 移码抑制"
"frame suppression","frame suppression 移码抑制"
"framework","framework 构架"
"framework gene","framework gene 构架基因，支架基因"
"framework region","framework region 构架区[如免疫球蛋白可变区中变异程度较小的区段]"
"fraternal twins","fraternal twins 二卵双生，异卵双生"
"free plasmid","free plasmid 游离质粒"
"free radical","free radical 自由基，游离基[带有单电子的原子或原子基团]"
"free replicating plasmid","free replicating plasmid 游离复制质粒"
"freeze-cleaving","freeze-cleaving 冷冻撕裂"
"freeze-etching","freeze-etching 冷冻蚀刻"
"freeze-fracturing","freeze-fracturing 冷冻断裂"
"freeze-substitution","freeze-substitution 冷冻置换"
"freezing microtomy","cryotomy
freezing microtomy
cryotomy 冷冻切片术"
"freezing point depressing glycoprotein","freezing point depressing glycoprotein 降凝固点糖蛋白，凝固点降低糖蛋白[从南极鱼类中分离的一种含有周期性重复序列的蛋白]"
"French cell press","French cell press 弗氏细胞压碎器"
"French press","French press 弗氏压碎器"
"French pressure cell","French pressure cell 弗氏压碎器"
"Freon","Freon [商]氟利昂[E.I.duPont deNemours公司的商标，是一系列卤代烷烃中的一种，例如Freon Friend cellFriend细胞[来自病毒性白血病小鼠的类红细胞系]"
"Freund's complete adjuvant","FCA
Freund's complete adjuvant
FCA 弗氏完全佐剂"
"Freund's incomplete adjuvant","FIA
Freund's incomplete adjuvant
FIA 弗氏不完全佐剂"
"fritillaria alkaloid","fritillaria alkaloid 贝母属生物碱"
"fritillarine","fritillarine 贝母属碱"
"fritted glass","fritted glass 多孔玻璃"
"frog skin peptide","frog skin peptide 蛙皮肽[类名，包括铃蟾肽，雨蛙肽、爪蟾肽等]"
"frontal analysis","frontal analysis 迎头（分析）法"
"frontal chromatography","frontal chromatography 迎头层析（法）"
"frontier orbital","frontier orbital 前沿轨道"
"frozen embryo transfer","frozen embryo transfer 冰冻胚胎转移"
"fructofuranosan","fructofuranosan 呋喃果聚糖"
"fructofuranosidase","fructofuranosidase 呋喃果糖苷酶"
"fructofuranoside","fructofuranoside 呋喃果糖苷"
"fructosan","fructosan 果聚糖"
"fructose","fructose 果糖"
"fructosidase","fructosidase 果糖苷酶"
"fructoside","fructoside 果糖苷"
"fuchsin","fuchsin 碱性品红"
"fucoidin","fucoidin 岩藻多糖"
"fucose","fucose 岩藻糖"
"fucosidase","fucosidase 岩藻糖苷酶"
"fucoside","fucoside 岩藻糖苷"
"fucosidosis","fucosidosis 岩藻糖代谢病，岩藻糖（沉积）症"
"fucosylation","fucosylation 岩藻糖基化"
"fucosyltransferase","fucosyltransferase 岩藻糖基转移酶"
"fucoxanthin","fucoxanthin 藻褐素
又称“岩藻黄质”。"
"fucoxanthin","fucoxanthin 岩藻黄质，墨角藻黄素，褐藻素"
"fudidic acid","fudidic acid 羧链孢酸"
"fuel cell","fuel cell 燃料电池"
"full length","full length 全长"
"fumarase","fumarase 延胡索酸酶"
"fumarate","fumarate 延胡索酸；延胡索酸盐、酯、根"
"fumaric acid","fumaric acid 延胡索酸，反丁烯二酸，富马酸"
"fumarprotocetraric acid","fumarprotocetraric acid 富马原岛衣酸"
"fumarylacetoacetic acid","fumarylacetoacetic acid 富马酰乙酰乙酸"
"fume hood","fume hood 通风橱，烟橱"
"fumonism","fumonism 串珠镰孢菌（毒）素"
"functional complementation","functional complementation 功能（性）互补"
"functional domain","functional domain 功能域"
"functional group","functional group 官能团"
"functional localization","functional localization 功能定位"
"functional polymer","functional polymer 功能高分子"
"functional redundancy","functional redundancy 功能性丰余，功能丰余性"
"fungi","fungi 真菌"
"fungicide","fungicide 杀真菌剂"
"fungistat","fungistat 抑真菌剂"
"fungus","fungus （单）真菌"
"funicle","funicle 菌纤索，菌丝索[见于真菌]；珠柄[见于植物]"
"funiculus","funiculus 菌纤索，菌丝索[见于真菌]；珠柄[见于植物]"
"furan","furan 呋喃"
"furanmycin","furanmycin 呋喃霉素"
"furanose","furanose 呋喃糖"
"furan resin","furan resin 呋喃树脂"
"furfural resin","furfural resin 糠醛树脂"
"furin","furin 弗林蛋白酶，成对碱性氨基酸蛋白酶[因其基因（fur）位于原癌基因fes/feps的上游区而得名]"
"furovirus","furovirus 真菌传棒状病毒组"
"fusant","fusant 融合子，融合体"
"fusarin","fusarin 镰菌素"
"fusarinic acid","fusarinic acid 镰孢菌酸"
"Fusarium","Fusarium 镰孢菌属，镰菌属"
"Fusarium graminearum","Fusarium graminearum 禾谷镰孢菌"
"fused ring compound","fused ring compound 稠环化合物"
"fusel oil","fusel oil 杀醇油"
"fusiform","fusiform 纺锤形"
"fusion","fusion 融合；融合体，融合基因，融合蛋白；熔融，熔化"
"fusion chain","fusion chain 融合链"
"fusion protein","fusion protein 融合蛋白标记物，融合附加物"
"fusogen","fusogen 融合剂"
"fusogenic agent","fusogenic agent 融合剂"
"fusogenic peptide","fusogenic peptide 融合肽，基因融合肽"
"G0 phase","G0 phase G0 期"
"G0 期","G0 期 G0 phase"
"G1 phase","G1 phase G1 期"
"G1 期","G1 期 G1 phase"
"G2 phase","G2 phase G2 期"
"G2 期","G2 期 G2 phase"
"G418","G418 一种氨基糖苷类抗生素"
"gabaergic","gabaergic gama-氨基丁酸能的"
"gaeumannomyces graminis virus","gaeumannomyces graminis virus 禾顶囊壳病毒"
"galactan","galactan 半乳聚糖"
"galactocerebroside","galactocerebroside 半乳糖脑苷脂"
"galactofuranose","galactofuranose 呋喃半乳糖"
"galactofuranosidase","galactofuranosidase 呋喃半乳糖苷酶"
"galactofuranoside","galactofuranoside 呋喃半乳糖苷"
"galactokinase","galactokinase 半乳糖激酶"
"galactosamine","galactosamine 半乳糖胺"
"galactose","galactose 半乳糖"
"galactosidase","galactosidase 半乳糖苷酶"
"galactosylation","galactosylation 半乳糖基化"
"galactosyl ceramide","galactosyl ceramide 半乳糖神经酰胺"
"galactosyl diglyceride","galactosyl diglyceride 半乳糖甘油二酯"
"galactosyltransferase","galactosyltransferase 半乳糖基转移酶"
"galline","galline 鸡精蛋白"
"GalNAc","GalNAc N-乙酰半乳糖胺"
"gal operon","gal operon 半乳糖操纵子"
"gametangial copulation","gametangial copulation 配囊交配"
"gamete","gamete 配子"
"gamete","gamete 配子"
"gamete lytic enzyme","gamete lytic enzyme 配子溶酶，溶配子酶"
"gametic ratio","gametic ratio 配子（分离）比"
"gametoclonal variation","gametoclonal variation 配子克隆变异"
"gametocyst","gametocyst 配子囊"
"gametocyst","gametocyst 配子囊"
"gametocyte","gametocyte 配子母细胞"
"gametocyte","gametocyte 配子母细胞"
"gametogamy","gametogamy 配子生殖"
"gametogamy","gametogamy 配子生殖"
"gametogenesis","gametogenesis 配子发生"
"gametogenesis","gametogenesis 配子发生"
"gametophyte","gametophyte 配子体"
"gamma","gamma 微克"
"ganciclovir","ganciclovir ""9-(1,3-二羟-2-丙氧甲基)鸟嘌呤"""
"ganglion","ganglion 神经节"
"ganglioside","ganglioside 神经节苷脂"
"gap","gap 缺口，空隙，间隙，裂隙"
"gap junction","gap junction 间隙连接"
"gap junction","gap junction 间隙连接"
"gap junction protein","gap junction protein 间隙连接蛋白"
"gapped duplex","gapped duplex （带）缺口（的）双链体"
"gap repair","gap repair 缺口修复"
"gastric inhibitory polypeptide","gastric inhibitory polypeptide 肠抑胃肽"
"gastrin","gastrin 胃泌素"
"gastrointestinal hormone","gastrointestinal hormone 胃肠激素"
"gastrointestinal tract","gastrointestinal tract 胃肠道"
"gastrone","gastrone 抑胃素"
"gastrula","gastrula 原肠胚"
"gastrula","gastrula 原肠胚"
"gastrulation","gastrulation 原肠胚形成"
"gastrulation","gastrulation 原肠胚形成"
"gated channel","gated channel 门控通道"
"gauche conformation","gauche conformation 邻位交叉构象，扭曲构象"
"Gaucher disease","Gaucher disease 戈谢病，高雪病"
"Gaulin homogenizer","Gaulin homogenizer Gaulin匀浆器[美国APV Gaulin公司生产的匀浆器]"
"Gaulin press","Gaulin press Gaulin压碎器[美国APV Gaulin公司生产的高压匀浆器]"
"Gaussian distribution","Gaussian distribution 高斯分布"
"GC box","GC box GC框[真核生物结构基因上游的顺式作用元件]"
"GC clamp","GC clamp GC封条"
"GC content","GC content GC含量"
"GC tailing","GC tailing gc对"
"GC value","GC value GC值，GC百分比"
"GDP dissociation inhibitor","GDP dissociation inhibitor GDP解离抑制因子[一种G蛋白调节蛋白]"
"GDP dissociation stimulator","GDP dissociation stimulator GDP解离刺激因子[一种G蛋白调节蛋白]"
"gegenion","gegenion 反离子，反荷离子"
"Geiger counter","Geiger counter 盖革计数器"
"gel","gel 凝胶"
"gelatin","gelatin 明胶"
"gelatin liquefaction","gelatin liquefaction 明胶液化"
"gelatinous precipitate","gelatinous precipitate 胶状沉淀"
"gelation","gelation 凝胶作用"
"gel casting","gel casting 凝胶灌制"
"geldanamycin","geldanamycin 格尔德霉素"
"gel mobility shift assay","gel mobility shift assay 凝胶迁移率变动分析，凝胶移位分析[DNA结合蛋白的电泳分析技术之一，在该试验中标记核酸因与蛋白质结合而导致迁移率变动（下降），相应的条带发生位移（滞后）]"
"gel mold","gel mold （凝）胶模"
"gel mould","gel mould （凝）胶膜"
"gelsolin","gelsolin [肌动蛋白]凝溶胶蛋白"
"gelsolin","gelsolin [肌动蛋白]凝溶胶蛋白[可使肌动蛋白从凝胶状编委溶胶状]"
"geminivirus","geminivirus 双粒病毒组[一组植物病毒]"
"gemma","gemma 芽胞[从真菌菌丝上长出的一种适于在不良环境下生存的厚壁孢子]；胞芽"
"genBank nucleotide sequence database","genBank nucleotide sequence database GenBank核酸序列资料库"
"gender determination","gender determination 性别决定"
"gender difference","gender difference 性别差异"
"gene","gene 基因"
"genealogical tree","genealogical tree 系统树"
"gene amplification","gene amplification 基因扩增"
"gene bank","gene bank 基因库"
"gene flow","gene flow 基因流[一个随机交配群体，由于合子或配子的散布而造成基因流动，从而引起等位基因频率的改变]"
"gene library","gene library 基因文库"
"gene map","gene map 基因图[谱]"
"gene mapping","gene mapping 基因作图"
"general initiation factor","general initiation factor 通用起始因子"
"gene redundancy","gene redundancy 基因丰余[因所编码的RNA或蛋白质用量很大，故基因的份数很多]"
"GeneScreen","GeneScreen [商]基因筛[是NEN Dupont公司的商标，一种用于杂交筛选的特制尼龙膜]"
"gene substitution","gene substitution 基因置换"
"genetic code","genetic code 遗传密码"
"genetic drift","genetic drift 遗传漂变[由于遗传群体大小有限造成基因频率的随机波动]"
"genetic engineering","genetic engineering 遗传工程"
"genetic extinction","genetic extinction 遗传绝灭，遗传死亡[由于突变使某基因型的适合度降低，并使有关个体的繁殖力降低或不育，从而导致某等位基因从基因库中消失]"
"genetic fingerprint","genetic fingerprint 基因指纹，遗传指纹[例如不同个体的DNA表现不同的限制性片段长度多态性，即可将这种限制酶切片段的电泳带型作为基因指纹]"
"genetic immunization","genetic immunization 基因免疫接种[采用基因疫苗进行接种]"
"genetic imprinting","genetic imprinting 遗传印记"
"Geneticin","Geneticin [商]遗传霉素[一种氨基糖苷类抗生素，Life Technologies公司（GIBCO）的商标]"
"genetic polarity","genetic polarity 遗传极性[上游基因翻译终止，使下游基因表达下降]"
"genetic system","genetic system 遗传体系[主要指生物的交配方式，如自交、异交，或两者兼具]"
"genetic transformation","genetic transformation 遗传转化[例如一个品系的生物吸收另一品系生物的遗传物质，并获得后一品系某些遗传性状]"
